         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
35212/35211    0.016    0.000    0.028    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\utils\decorators.py:31(_wrapped)
    17592    0.016    0.000    0.028    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_ABM_connector.py:36(run_ABM_one_step)
    35184    0.016    0.000    0.039    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\series.py:1073(_ixs)
    70378    0.016    0.000    0.016    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
   141068    0.016    0.000    0.016    0.000 {built-in method builtins.id}
   106924    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
    17594    0.015    0.000    0.233    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:989(links_at_patch)
    91846    0.015    0.000    0.019    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\tqdm\utils.py:375(<genexpr>)
    17592    0.014    0.000    0.062    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2957(amin)
    17593    0.013    0.000    0.260    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:480(node_at_link_head)
    17596    0.013    0.000    0.028    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:955(number_of_patches)
    35371    0.013    0.000    0.013    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
    35206    0.013    0.000    0.013    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:161(iloc)
   160462    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    70522    0.013    0.000    0.013    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\utils.py:426(__getitem__)
    70644    0.013    0.000    0.013    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\utils.py:423(__init__)
    88171    0.012    0.000    0.012    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:551(dtype)
    35206    0.012    0.000    0.015    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:1165(_check_deprecated_callable_usage)
    35186    0.012    0.000    0.012    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexers\utils.py:62(is_list_like_indexer)
   140887    0.012    0.000    0.012    0.000 {method 'add' of 'set' objects}
    35285    0.012    0.000    0.023    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\series.py:831(_values)
    35285    0.011    0.000    0.011    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\internals\managers.py:2004(internal_values)
    35418    0.011    0.000    0.015    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
        3    0.010    0.003    0.963    0.321 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_store_functions.py:167(save_csv_var)
       12    0.010    0.001    0.010    0.001 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:2354(objects_to_datetime64)
    17593    0.010    0.000    0.213    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:450(node_at_link_tail)
    35184    0.010    0.000    0.010    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_interception.py:10(run_interception_one_step)
    17592    0.010    0.000    0.071    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
       10    0.010    0.001    0.696    0.070 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\io\formats\csvs.py:305(_save_body)
   105886    0.009    0.000    0.009    0.000 {built-in method builtins.callable}
       20    0.009    0.000    0.011    0.001 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\rasterio\env.py:316(defenv)
    35267    0.009    0.000    0.009    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\_config\__init__.py:42(warn_copy_on_write)
      228    0.009    0.000    0.009    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    17594    0.009    0.000    0.009    0.000 {method 'fill' of 'numpy.ndarray' objects}
    70368    0.008    0.000    0.008    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:2166(_allclose_dispatcher)
      114    0.008    0.000    0.452    0.004 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexes\base.py:7770(get_values_for_csv)
    35242    0.008    0.000    0.008    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\generic.py:572(_get_axis_number)
    88531    0.008    0.000    0.008    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\typing.py:2287(cast)
    70373    0.007    0.000    0.007    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:2245(_isclose_dispatcher)
    70375    0.006    0.000    0.006    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\multiarray.py:669(result_type)
    52776    0.006    0.000    0.006    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\lib\nanfunctions.py:231(_nanmin_dispatcher)
    52879    0.006    0.000    0.006    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
    52777    0.006    0.000    0.006    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:199(_ones_like_dispatcher)
    35301    0.006    0.000    0.006    0.000 {method 'view' of 'numpy.ndarray' objects}
      591    0.005    0.000    0.025    0.000 {built-in method builtins.sum}
       20    0.005    0.000    0.005    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\rasterio\__init__.py:121(open)
    35185    0.005    0.000    0.005    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2687(_max_dispatcher)
    91288    0.005    0.000    0.005    0.000 {built-in method unicodedata.east_asian_width}
       25    0.004    0.000    0.004    0.000 {built-in method io.open}
      176    0.004    0.000    0.004    0.000 {built-in method nt.stat}
        8    0.004    0.001    0.004    0.001 {built-in method _imp.create_dynamic}
      186    0.004    0.000    0.023    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\tqdm\std.py:464(format_meter)
        5    0.003    0.001    0.003    0.001 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
    17623    0.003    0.000    0.003    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\structured_quad\structured_quad.py:386(shape)
    17614    0.003    0.000    0.003    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\structured_quad\structured_quad.py:758(dy)
      733    0.002    0.000    0.052    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\tqdm\std.py:1198(update)
    17592    0.002    0.000    0.002    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2317(_any_dispatcher)
    17593    0.002    0.000    0.002    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2831(_min_dispatcher)
